Id,SalePrice
2658,160477.46628983805
2718,165934.77984195927
2414,201576.9339492916
1989,102903.56966664139
625,173184.7844686825
333,86333.45322825892
1327,99670.24222065276
858,145055.42678536585
95,190300.09206608415
1568,164605.9429994565
2482,155878.88174064027
1364,116650.10380171027
2584,151016.8933307897
818,259174.08789807087
2673,167988.7641763538
2089,118529.23219820428
1297,159005.6181987343
790,112078.16694999154
2616,199622.20759228413
720,193470.02840477152
222,138182.7759702155
557,122553.75922397361
1148,187142.79491512832
2766,191613.05071010487
534,178418.00151205945
1452,117699.8813929949
630,115853.65599246424
2648,139974.66959268984
125,163949.1936451467
1904,43475.71776425111
1670,103443.0497066902
756,81423.9827696356
717,219286.44425312246
1032,162783.7842584979
852,206123.92888149442
1731,176696.50123927224
2639,117168.94054221507
2071,80743.32111341193
1267,107654.7681101815
1851,190366.16185527973
567,161008.99103964455
2439,196839.03284238456
1898,146797.17100444288
647,181657.56412436883
2256,227876.25887975877
979,94115.12227713616
1444,211397.1619242026
2485,115468.51730395519
157,129639.7730641494
88,121881.86376338461
2003,106204.20251736307
186,198114.89865601077
1425,229482.2297830447
2695,124183.69056012086
738,96983.22326516148
395,149045.598054345
1353,161200.19406821785
1878,137261.81965190044
390,165183.67220717226
1456,221884.1636010593
1103,325750.8486342969
1387,125992.06417450473
2070,144088.91526185596
1199,178343.38416225102
2479,170571.45715410443
501,298438.59070682514
2362,80488.59234143625
1718,229880.02699378296
2188,71182.26382478325
1483,164945.99142903794
2557,71617.44501854214
437,364681.61898260005
2224,188022.34901217924
1628,158985.67521139944
397,132849.49673761823
587,199798.11678598687
2182,601409.913594464
971,137270.86679338786
2611,146092.37980721684
1887,77654.93906007023
2399,401334.9117023436
2148,196344.11021434664
304,120718.28020790314
1997,125911.1215663646
2817,114898.80027782037
1431,206575.2007054656
427,365117.9804405649
263,117414.96065337813
598,179271.78906452112
2895,232525.81923395774
687,143339.06114493034
1822,126346.76126855856
2191,116493.66653301
179,122909.65557955543
1009,222316.41499093277
2010,123188.58416240671
1991,136189.12523749348
1411,191010.47278227555
1721,241590.79659276805
1144,186103.52061486762
593,216853.50441043384
575,361808.43714712595
1249,175909.2754966861
1604,113309.9935422708
1064,486323.46988735266
1923,166263.60801254094
1988,105732.34522326004
2325,166228.19677652963
114,197927.16069162625
2700,184235.76130701954
217,148642.31469054378
343,172742.357328627
386,220575.84311085966
2005,118018.24578833015
2908,143212.43160803386
1814,235066.9199578399
2446,468436.28778769576
208,147697.4216421225
1679,105487.92784292527
822,344701.64124526
6,198820.26074395867
1781,395627.0563621862
2397,309382.42187848187
2340,309096.68191131187
1618,169042.8325380939
2843,127136.45134806738
1061,369709.72969637264
2786,122572.95153276272
1935,134521.31090447798
1341,106588.68667931615
521,248946.1974798707
2136,126512.70323982366
996,206307.84512159272
227,142931.97253696498
135,196629.3148603973
1167,169012.10364668508
294,218528.65224006385
1776,201884.8196404787
540,171860.82601731786
1717,226990.98915434885
2303,130258.13276310494
116,180974.84595225923
127,122786.07628002198
1371,129082.30731312162
1014,161593.56685553156
1507,97120.55932694499
702,147881.054458305
750,144640.54343428885
261,162351.67767404055
1559,69948.14021406951
577,214558.19851065867
2812,198712.06494110182
2080,168246.32889192965
1368,106183.7221076855
2376,114202.85268261959
659,107900.83709166593
1235,126559.12231753416
332,70577.30070085448
1917,136765.7753970024
2094,224688.9327805423
1460,258379.06017956027
1471,223811.64333330424
1509,126335.0443281478
1922,130113.8581580567
433,485571.49075584125
460,309948.5418148268
1116,228634.3902104973
1137,170875.14510445477
53,169527.4016104696
2354,259324.95514570805
1475,189424.26841921613
1761,510997.19883374975
842,137742.65677837149
2739,198891.8529368093
2509,160564.4216176863
1007,194411.8301020828
2610,187500.19272009804
1952,99798.80553688332
2719,170498.5807760018
2921,81639.46598978371
1966,130266.23230411542
292,113843.05103157474
1204,193702.03284171893
1829,259703.59307481485
2419,182083.9878251732
391,144396.6143631222
798,112418.46387708804
481,191874.67289045162
193,190644.63740322102
555,106374.24474061784
899,60131.74319379812
2357,181171.13183241303
328,141277.70617524075
1356,116009.25899150789
1154,95051.74061366594
1730,178134.37127989827
2249,149842.98748464164
1119,261387.5720569349
2856,142455.21486291185
1394,134857.44096050912
2587,121788.267378501
61,316672.93000625446
2661,172515.2071219518
2711,132782.6148242632
1147,185312.41005902438
757,121563.17230434298
2623,72293.82379671605
2378,135680.81204610542
1413,153799.1993479541
1722,228798.5718505764
1112,223440.00802691263
1623,188892.50665705896
1201,189170.3596886554
1513,108636.69226554118
957,506457.5826846132
1171,269383.5172173369
1145,195114.10357508156
2726,242263.07040131773
703,146766.61015235767
760,92494.80221150124
1964,128735.74719824584
2512,184326.63652119896
159,155804.02774657833
1281,158300.48340590365
468,186140.90829373788
290,114530.07340687764
665,94636.86029245913
1463,244161.99670380246
1792,219533.58441399608
923,157626.53503465853
500,282217.8328196855
1408,211292.84006078803
331,72736.78519086682
170,118947.24707072027
2192,87020.61784376194
2571,285105.9035965482
2314,172000.9134333925
2647,81823.59308855444
422,434653.7143230627
2457,356064.4437095331
1838,191059.7458241566
2805,240686.39343550897
1645,148680.41063673314
1711,321301.0533590736
2825,240574.98600380312
322,354065.7046172408
2103,235887.0403462419
342,121405.88303711191
600,118699.59130467087
488,182764.74097911833
1725,341550.7842422918
2246,273030.51930858666
2847,161218.0797331036
806,227626.75557266606
530,232048.68619448488
963,191370.2039431329
2678,88494.67477912961
171,84850.25823578503
2401,432070.7317365736
805,211235.54528139863
2259,243699.5935911993
1748,179110.80155321292
1361,136559.1230529921
1677,115939.48798368897
1406,158041.2635429243
2322,234655.23527952316
688,153172.84726081102
143,137401.32839261694
804,199881.02821696113
1214,167396.55815731102
2828,158066.76593759726
1999,203820.15687784078
2467,191588.30362001556
2665,153121.83654877415
1538,316752.7776962342
398,108742.05137414382
2822,144827.58205903895
2157,155606.67751150747
1856,214441.29451051244
1269,83183.68323889864
2570,120153.56186504147
2320,225139.90253419947
1517,136766.54429753355
2304,110802.23193664747
1312,91076.21369047384
2012,131716.20226474994
506,274907.7205546296
2865,212652.52553167904
2367,103803.31185630383
554,75026.61254260273
238,136264.79667741188
1954,110943.89252723363
2488,135518.79051262664
2291,74350.58029539445
